,Unnamed: 0_level_0,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,Unnamed: 0_level_1,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,B/Ca_std,BOH4_HCO3,BT,DIC,PO4,TA,TP,TS,depth_m,n,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_MgCa,temp_C_d18O,temp_C_std,Core,Description,Site,comments,core_depth_m,doi,lat,lon,sample_depth,shortref,site_info,size_fraction,species
12,5,369.1731478422808,41.6255704158047,410.7987182580854,31.754343857447537,76.64864143047896,2284.99893001216,2176.595944724233,162.7,34.58733495076495,2372.040235298807,2.93116664886475,565.762178975411,,,,46.49079945304621,,,,5.33,0.0191379620184041,411.095181129092,,,,,,1627.0,,7.83797691175791,,,,2.93116664886475,,,,,,,,,10.1016/j.epsl.2011.08.023,-37.74,176.64,5-6,Brown2011,,,O. umbonatus
13,6,367.7754891849143,44.14448903861411,411.91997822352835,33.57395869086717,80.39654809134281,2496.243976387842,2382.2734696056327,335.8,34.68173980712892,2587.679030295187,1.7887800216674798,573.4243973057337,,,,50.503733851078394,,,,5.33,0.0185437765834926,412.217250279018,,,,,,3358.0,,7.785758550870299,,,,1.7887800216674798,,,,,,,,,10.1016/j.epsl.2011.08.023,-3.6,-85.1,0-2,Brown2011,,,O. umbonatus
14,7,348.55982420812416,66.27528796141392,414.8351121695381,28.21541748373241,178.70260340077098,3398.6373986073877,3191.719377722884,281.3,34.92718048095702,3616.257349090769,3.03494999408722,505.66915369042886,,,,56.2588346103176,,,,2.661,0.0207797457368388,415.134488002232,,,,,,2813.0,,7.99816289539124,,,,3.03494999408722,,,,,,,,,10.1016/j.epsl.2011.08.023,46.0,-45.05,0-2,Brown2011,,,O. umbonatus
15,8,367.15443242762603,44.86562296359498,412.02005539122104,33.73604968577568,81.10512364265782,2535.588718788502,2420.747545460068,376.5,34.690165837605804,2628.2790264484634,1.47566668192546,569.4166205144207,,,,37.4030247021064,,,,5.33,0.0185471638354613,412.317399669829,,,,,,3765.0,,7.775450266064009,,,,1.47566668192546,,,,,,,,,10.1016/j.epsl.2011.08.023,2.76,-110.552,3-4,Brown2011,,,O. umbonatus
16,0,367.14621726291193,44.87383812830906,412.02005539122104,33.75244469106843,81.13822038829288,2537.01700937957,2422.1263443002085,377.2,34.690165837605804,2629.732174631417,1.4756970405578602,569.6940028331861,,,,128.974655481075,,,,6.175967051607669,0.01854,412.317399669829,,,,,,3772.0,,7.77516400065042,,,,1.4756970405578602,,,,,,,,,10.1016/j.epsl.2011.08.023,2.8,-110.6,10-15,Brown2011,,,N. umbonifera
17,1,365.78260896540183,46.09383988114257,411.87644884654435,34.09446403114614,80.923480159243,2590.657401267913,2475.639457077524,484.9,34.67807483673094,2684.0275109349013,1.524463057518,576.4932620399255,,,,101.293797480898,,,,5.33,0.0186324,412.173689488002,,,,,,4849.0,,7.730530450130969,,,,1.524463057518,,,,,,,,,10.1016/j.epsl.2011.08.023,0.875,160.993,top,Brown2011,,,N. umbonifera
18,2,347.05539373535856,67.53883775845489,414.5942314938134,29.074640998752688,185.75300893412637,3557.603197727495,3342.775547794616,327.9,34.90689945220945,3782.6462064039447,2.526144,511.22953600062135,,,,150.62610707207799,,,,5.00569270252621,0.020219,414.89343348911797,,,,,,3279.0,,7.98971062263082,,,,2.526144,,,,,,,,,10.1016/j.epsl.2011.08.023,4.245,-21.923000000000002,5-7,Brown2011,,,N. umbonifera
19,3,352.26103698517187,61.87116541757914,414.1322024027511,30.5107952231207,142.16706207678806,3266.5149115303198,3093.8370542304106,470.2,34.867998758951856,3440.67898592149,1.44377303123474,514.9011421531268,,,,126.009183045991,,,,6.175967051607669,0.02001263,414.431070963542,,,,,,4702.0,,7.882481369428411,,,,1.44377303123474,,,,,,,,,10.1016/j.epsl.2011.08.023,2.7319999999999998,-20.938000000000002,10-15,Brown2011,,,N. umbonifera
20,4,350.57290657659155,63.92464960300005,414.4975561795916,29.534565248731713,159.80482914423615,3344.974824322191,3155.635429929222,377.5,34.898759841918945,3539.915715884969,2.3765199184417702,516.3912792809789,,,,136.337421980915,,,,6.733,0.0202719179066223,414.796688406808,,,,,,3775.0,,7.9368773622872695,,,,2.3765199184417702,,,,,,,,,10.1016/j.epsl.2011.08.023,28.57,-46.35,0-1,Brown2011,,,N. umbonifera
21,5,350.7397670864198,64.01182939163418,414.75159647805395,29.64299027984157,160.4189100688364,3355.0936972472077,3165.0317968985296,384.1,34.920148849487354,3550.641289373727,2.63243293762207,523.3376145942193,,,,136.984113230933,,,,6.733,0.0202392990634632,415.050912039621,,,,,,3841.0,,7.930603968336411,,,,2.63243293762207,,,,,,,,,10.1016/j.epsl.2011.08.023,32.45,-34.75,0-1,Brown2011,,,N. umbonifera
22,6,351.3549490816157,63.09268555903265,414.44763464064835,29.938661834478296,154.34117121445027,3319.937149678544,3135.657316629615,404.1,34.89455668131512,3508.1606774432244,2.4300000667572,524.4932143342646,,,,137.714751753855,,,,6.733,0.0201355606025199,414.746730840774,,,,,,4041.0,,7.91549156849586,,,,2.4300000667572,,,,,,,,,10.1016/j.epsl.2011.08.023,34.97,-17.35,0-1,Brown2011,,,N. umbonifera
23,7,350.1995652901207,64.19810439170071,414.39766968182136,29.619631713080878,158.98511202614608,3357.3851811039576,3168.780437364731,402.4,34.890349864959695,3551.6821575439685,2.2409999370575,515.2263631353997,,,,126.491929670049,,,,6.175967051607669,0.0202741830122416,414.69672982352097,,,,,,4024.0,,7.92762053341285,,,,2.2409999370575,,,,,,,,,10.1016/j.epsl.2011.08.023,5.4552166666666695,-43.7481666666667,8-10,Brown2011,,,N. umbonifera
24,8,353.0442459590506,60.6966149227545,413.74086088180513,30.599657875990413,140.42775869643066,3225.762242197335,3054.7348256249147,435.8,34.8350496292114,3396.938782613423,1.80242002010345,523.3733977936309,,,,144.757207498205,,,,2.661,0.0198840231889735,414.03944702148397,,,,,,4358.0,,7.88745855373649,,,,1.80242002010345,,,,,,,,,10.1016/j.epsl.2011.08.023,5.97621666666667,-43.739933333333305,3-5,Brown2011,,,N. umbonifera
25,9,357.17961424665606,55.980453968850775,413.1600682155069,31.688720307244054,117.29797029885175,3014.130312487476,2865.14362188138,475.5,34.78614959716801,3156.290880396897,1.60145699977875,537.7315537877821,,,,97.4650571946007,,,,4.278523000000001,0.019552546404679,413.458235212054,,,,,,4755.0,,7.828796659451919,,,,1.60145699977875,,,,,,,,,10.1016/j.epsl.2011.08.023,-27.1875,-1.5831,top,Brown2011,,,N. umbonifera
26,10,364.54416968296067,47.54382245346929,412.08799213643005,33.52216925958642,87.70768674038735,2659.5581544492125,2538.328298449239,441.6,34.69588579450337,2761.758594222973,1.4336199760437,564.9213573696967,,,,94.0820836364366,,,,7.55414250742886,0.0187438849563236,412.38538544323995,,,,,,4416.0,,7.769417701075151,,,,1.4336199760437,,,,,,,,,10.1016/j.epsl.2011.08.023,5.0783,-139.6367,top,Brown2011,,,N. umbonifera
27,11,363.64485737946296,48.44904956989872,412.09390694936167,33.44582439289341,91.236614906515,2711.1295932220146,2586.447153922606,443.1,34.6963837941488,2817.851378163562,1.44165897369385,563.8089532619982,,,,108.272766487376,,,,5.09935495920808,0.0187454106415989,412.39130452474,,,,,,4431.0,,7.77778609225455,,,,1.44165897369385,,,,,,,,,10.1016/j.epsl.2011.08.023,4.0413,-139.8508,top,Brown2011,,,N. umbonifera
28,12,363.70054504098437,48.391019931562674,412.091564972547,33.400586906854905,91.20374464949758,2706.563277031112,2581.9589454747597,437.6,34.696186610630605,2813.239736769749,1.4338239431381201,562.8778126855639,,,,100.087999217906,,,,6.175967051607669,0.0187555044479361,412.388960857781,,,,,,4376.0,,7.780221516584669,,,,1.4338239431381201,,,,,,,,,10.1016/j.epsl.2011.08.023,-1.868,-139.7157,top,Brown2011,,,N. umbonifera
29,13,363.14711169713684,48.955909652088835,412.1030213492256,33.42083697643029,92.82149478683917,2737.616628421914,2611.374296658644,451.3,34.697151184082024,2846.459393004864,1.4458999633789098,563.4812589751313,,,,124.40737753829599,,,,5.33,0.0187607115287293,412.400425502232,,,,,,4513.0,,7.77848278417563,,,,1.4458999633789098,,,,,,,,,10.1016/j.epsl.2011.08.023,-2.8853,-139.8317,top,Brown2011,,,N. umbonifera
30,14,363.44272747466806,48.658511771518384,412.10123924618654,33.35156305080777,92.70772718845501,2723.664664318725,2597.6053740794628,430.1,34.69700113932289,2832.1673750530003,1.4509999752044698,562.4219343447622,,,,101.221548335,,,,6.175967051607669,0.0187455830874365,412.39864211309504,,,,,,4301.0,,7.7867150113274,,,,1.4509999752044698,,,,,,,,,10.1016/j.epsl.2011.08.023,0.11,-139.7233,top,Brown2011,,,N. umbonifera
31,15,364.16139910614066,47.935082831086405,412.0964819372271,33.38105162826602,89.95871158020896,2681.58515503915,2558.2453918306755,425.6,34.69660059611005,2786.577638780718,1.43529796600342,562.5815544978852,,,,107.34500753090799,,,,5.09935495920808,0.0187510066473163,412.393881370908,,,,,,4256.0,,7.78193856305457,,,,1.43529796600342,,,,,,,,,10.1016/j.epsl.2011.08.023,-4.9738,-139.7373,top,Brown2011,,,N. umbonifera
32,16,364.36199407236603,47.72340257985607,412.0853966522222,33.434711124582655,89.0729559845561,2671.2998507441216,2548.792183634983,427.6,34.695667266845746,2775.137669867585,1.4215979576110802,563.1889442799586,,,,111.25995658985501,,,,5.09935495920808,0.0187374410667522,412.38278808593805,,,,,,4276.0,,7.77887664735842,,,,1.4215979576110802,,,,,,,,,10.1016/j.epsl.2011.08.023,-0.8655,-139.8317,top,Brown2011,,,N. umbonifera
33,17,363.48675081234114,48.60688278053691,412.09363359287806,33.44741834021116,91.84845356875178,2720.9191917273497,2595.6233198183872,444.2,34.69636077880858,2828.41075365432,1.44326603412628,563.8702339889818,,,,89.31595166936658,,,,6.175967051607669,0.018739992334976002,412.391030970982,,,,,,4442.0,,7.77878308504985,,,,1.44326603412628,,,,,,,,,10.1016/j.epsl.2011.08.023,1.053,-138.947,0-5,Brown2011,,,N. umbonifera
34,18,349.57918617056464,64.86075302514251,414.43993919570715,29.347858229233626,161.9292562010548,3371.2951783723515,3180.018063942063,397.9,34.893908760764376,3569.483430114432,2.27381801605225,511.1392462196756,,,,178.781916198655,,,,5.00569270252621,0.02041106687369,414.73902984222804,,,,,,3979.0,,7.93483261694358,,,,2.27381801605225,,,,,,,,,10.1016/j.epsl.2011.08.023,36.1202,-72.292,0-1,Brown2011,,,N. umbonifera
35,19,349.5000908342452,65.00030613841103,414.5003969726562,29.2285725013504,163.38368244156018,3373.2412658550293,3180.629010912119,386.5,34.8989990234375,3573.150704907817,2.3085711002349902,509.74152355059687,,,,160.126573631591,,,,2.661,0.0204510538527634,414.79953125,,,,,,3865.0,,7.94148060564078,,,,2.3085711002349902,,,,,,,,,10.1016/j.epsl.2011.08.023,36.1233,-72.2798,0-1,Brown2011,,,N. umbonifera
