,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca_std,BOH4_HCO3,BT,depth_m,pHtot,temp_C,doi,lat,lon,sample_depth,shortref,species
2,363.1061830769815,49.0854860321294,412.1916691091109,32.52714977884025,91.39544369396361,2682.216201361036,2558.293607888232,432.4,34.7046149117606,2790.6387516958625,0.851528576442174,536.1118782559646,58.6636359903021,2.661,0.019200653753609,412.489137236926,4324.0,7.79670711928117,0.851528576442174,10.1016/j.epsl.2011.08.023,-58.688,-169.979,5-7,Brown2011,O. umbonatus
3,366.17347404779656,45.844152734296095,412.0176267820927,33.449434275917625,84.8353235380134,2580.419503718833,2462.134745904902,369.4,34.6899613600511,2678.118943148913,1.47853846733387,564.6399476933086,44.3851577065184,5.33,0.0186331139498828,412.314969308036,3694.0,7.7897552619387,1.47853846733387,10.1016/j.epsl.2011.08.023,1.058,-107.215,0-5,Brown2011,O. umbonatus
4,369.6255882493985,42.224238545180164,411.8498267945787,33.82620087136939,74.32709821560458,2398.9774564191434,2290.8241573321698,318.6,34.67583338419594,2482.1535080403323,1.88016664981842,579.712190904896,43.4114276081515,5.33,0.0184452004127295,412.147048223586,3186.0,7.77241179868411,1.88016664981842,10.1016/j.epsl.2011.08.023,1.0,-83.6,0-2,Brown2011,O. umbonatus
5,369.17314784228074,41.6255704158047,410.79871825808544,31.75434385744754,76.64864143047895,2284.99893001216,2176.595944724233,162.7,34.58733495076495,2372.0402352988067,2.93116664886475,565.762178975411,46.4907994530462,5.33,0.0191379620184041,411.095181129092,1627.0,7.83797691175791,2.93116664886475,10.1016/j.epsl.2011.08.023,-37.74,176.64,5-6,Brown2011,O. umbonatus
6,367.77548918491425,44.14448903861411,411.91997822352835,33.57395869086717,80.39654809134281,2496.243976387842,2382.2734696056323,335.8,34.68173980712892,2587.679030295187,1.78878002166748,573.4243973057338,50.5037338510784,5.33,0.0185437765834926,412.217250279018,3358.0,7.7857585508703,1.78878002166748,10.1016/j.epsl.2011.08.023,-3.6,-85.1,0-2,Brown2011,O. umbonatus
7,348.5598242081242,66.27528796141392,414.8351121695381,28.215417483732406,178.702603400771,3398.6373986073877,3191.7193777228836,281.3,34.92718048095702,3616.257349090769,3.03494999408722,505.6691536904289,56.2588346103176,2.661,0.0207797457368388,415.134488002232,2813.0,7.99816289539124,3.03494999408722,10.1016/j.epsl.2011.08.023,46.0,-45.05,0-2,Brown2011,O. umbonatus
8,367.15443242762603,44.86562296359498,412.020055391221,33.73604968577568,81.10512364265782,2535.588718788502,2420.747545460068,376.5,34.690165837605804,2628.2790264484634,1.47566668192546,569.4166205144207,37.4030247021064,5.33,0.0185471638354613,412.317399669829,3765.0,7.77545026606401,1.47566668192546,10.1016/j.epsl.2011.08.023,2.76,-110.552,3-4,Brown2011,O. umbonatus
0,367.14621726291193,44.87383812830906,412.020055391221,33.75244469106843,81.13822038829288,2537.01700937957,2422.1263443002085,377.2,34.690165837605804,2629.7321746314174,1.47569704055786,569.6940028331861,128.974655481075,6.17596705160767,0.01854,412.317399669829,3772.0,7.77516400065042,1.47569704055786,10.1016/j.epsl.2011.08.023,2.8,-110.6,10-15,Brown2011,N. umbonifera
1,365.7826089654018,46.09383988114257,411.8764488465444,34.09446403114614,80.923480159243,2590.657401267913,2475.639457077524,484.9,34.67807483673094,2684.0275109349013,1.524463057518,576.4932620399255,101.293797480898,5.33,0.0186324,412.173689488002,4849.0,7.73053045013097,1.524463057518,10.1016/j.epsl.2011.08.023,0.875,160.993,top,Brown2011,N. umbonifera
2,347.05539373535856,67.53883775845489,414.5942314938134,29.074640998752695,185.75300893412634,3557.6031977274947,3342.775547794616,327.9,34.90689945220945,3782.646206403945,2.526144,511.22953600062135,150.626107072078,5.00569270252621,0.020219,414.893433489118,3279.0,7.98971062263082,2.526144,10.1016/j.epsl.2011.08.023,4.245,-21.923,5-7,Brown2011,N. umbonifera
