,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,DIC,PO4,TA,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_std,Description,Site,doi,lat,lon,shortref,size_fraction,species
14,309.6864404517233,115.75281669113392,425.4392571428572,7.964347284454918,266.6547501269145,1978.9,1704.2809025886306,,35.82,2360.7,21.95,261.1455957493115,0.0592,0.0686,1.65,122.2,1978.9,0.19899999999999998,2360.7,8.207,0.03,35.82,0.11,21.95,3.98,sensu lato,G4,10.1002/2014GC005514,?28.42,167.25,Henehan2015,300-355,Globigerinoides ruber (white)
15,320.7460681635375,107.54370326503398,428.28977142857144,9.040063535102245,240.46952291943697,2020.9999999999998,1771.4904135454608,,36.06,2365.2000000000007,18.4,269.1704208607595,0.0538,0.0614,0.92,116.0,2021.0,0.091,2365.2,8.201,0.018000000000000002,36.06,0.09,18.4,3.74,sensu lato,MC436,10.1002/2014GC005514,39.8,?21.06,Henehan2015,300-355,Globigerinoides ruber (white)
16,312.4710552997554,119.50063041453035,431.97168571428574,7.966054318190731,283.68426269630055,1970.2,1678.5496829855088,,36.37,2375.7,26.86,296.817481891084,0.0613,0.0719,1.22,165.1,1970.2,0.48200000000000004,2375.7,8.156,0.02,36.37,0.21,26.86,3.64,sensu lato,MC497,10.1002/2014GC005514,23.53,63.31,Henehan2015,300-355,Globigerinoides ruber (white)
17,302.1682374102935,120.89559116113509,423.06382857142853,7.41770714927131,288.47633135993016,1929.1,1633.205961490799,,35.62,2342.1999999999994,27.5,279.6166306347129,0.0634,0.0748,1.76,133.5,1929.1,0.077,2342.2,8.174,0.012,35.62,0.82,27.5,2.0,sensu lato,MC423,10.1002/2014GC005514,17.75,?65.59,Henehan2015,300-355,Globigerinoides ruber (white)
18,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,113.9,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu lato,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,300-355,Globigerinoides ruber (white)
19,321.1031761676433,112.76885240378527,433.87202857142853,8.686170473012288,255.68364972371606,2028.4,1764.030179803272,,36.53,2394.2,19.83,269.9064537620058,0.0572,0.0657,1.56,121.6,2028.4,0.19,2394.2,8.187999999999999,0.006,36.53,0.13,19.83,3.84,sensu lato,GeoB4216-1a,10.1002/2014GC005514,30.63,?12.40,Henehan2015,300-355,Globigerinoides ruber (white)
20,313.40961067994783,110.60438932005226,424.01400000000007,8.453323086752306,249.60230667652345,1995.1000000000001,1737.044370236724,,35.7,2352.7,19.33,257.87915578124023,0.055999999999999994,0.0643,1.02,102.5,1995.1,0.29100000000000004,2352.7,8.213,0.013999999999999999,35.7,0.13,19.33,3.74,sensu lato,OC476-SR223,10.1002/2014GC005514,?33.53,166.53,Henehan2015,300-355,Globigerinoides ruber (white)
21,301.6260333923929,120.48762375046422,422.11365714285716,7.42140448834354,287.64888126210764,1926.0,1630.929714249549,,35.54,2337.900000000001,27.59,280.2465895715402,0.0633,0.0747,0.98,110.8,1926.0,0.077,2337.9,8.173,0.013000000000000001,35.54,0.48,27.59,1.08,sensu lato,MC420,10.1002/2014GC005514,17.04,?66.00,Henehan2015,355-400,Globigerinoides ruber (white)
22,309.6864404517233,115.75281669113392,425.4392571428572,7.964347284454918,266.6547501269145,1978.9,1704.2809025886306,,35.82,2360.7,21.95,261.1455957493115,0.0592,0.0686,1.65,136.4,1978.9,0.19899999999999998,2360.7,8.207,0.03,35.82,0.11,21.95,3.98,sensu lato,G4,10.1002/2014GC005514,?28.42,167.25,Henehan2015,355-400,Globigerinoides ruber (white)
23,324.4313312100966,112.1724402184748,436.6037714285714,9.237359870774563,269.952061920631,2013.6,1734.4105782085946,,36.76,2396.7,28.38,357.63343004602143,0.0564,0.0656,1.34,132.9,2013.6,0.40299999999999997,2396.7,8.092,0.068,36.76,1.23,28.38,5.55,sensu stricto,MC120,10.1002/2014GC005514,12.47,45.38,Henehan2015,250-300,Globigerinoides ruber (white)
24,337.864669072847,99.68927378429589,437.55394285714294,11.101240214366163,234.4545030522705,2081.8,1836.2442567333637,,36.84,2411.6000000000004,24.26,388.6774959297703,0.0592,0.0562,5.52,121.5,2081.8,0.06,2411.6,8.066,0.018000000000000002,36.84,0.11,24.26,1.97,sensu stricto,CAR22(z),10.1002/2014GC005514,10.5,?64.66,Henehan2015,250-300,Globigerinoides ruber (white)
25,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,141.0,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu stricto,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,250-300,Globigerinoides ruber (white)
26,302.99214334462147,108.07577094109284,411.06791428571427,8.426647958801196,260.06123861487924,1905.3,1636.8121134263195,,34.61,2276.1000000000004,29.41,330.6028731066503,0.0574,0.0668,0.92,99.1,1905.3,0.151,2276.1,8.107999999999999,0.064,34.61,0.51,29.41,0.36,sensu stricto,GGC48,10.1002/2014GC005514,0,161,Henehan2015,250-300,Globigerinoides ruber (white)
27,342.0589418987135,137.77762952985802,479.83657142857146,7.817572137267252,312.06004081363557,2058.4,1738.5223870490975,,40.4,2509.4999999999995,23.76,275.33135563817945,0.0679,0.0803,4.48,121.3,2058.4,0.129,2509.5,8.192,0.008,40.4,0.22,23.76,4.25,sensu stricto,Eilat,10.1002/2014GC005514,29.5,34.92,Henehan2015,250-300,Globigerinoides ruber (white)
28,313.40961067994783,110.60438932005226,424.01400000000007,8.453323086752306,249.60230667652345,1995.1000000000001,1737.044370236724,,35.7,2352.7,19.33,257.87915578124023,0.055999999999999994,0.0643,1.02,95.1,1995.1,0.29100000000000004,2352.7,8.213,0.013999999999999999,35.7,0.13,19.33,3.74,sensu stricto,OC476-SR223,10.1002/2014GC005514,?33.53,166.53,Henehan2015,250-355,Globigerinoides ruber (white)
29,324.4313312100966,112.1724402184748,436.6037714285714,9.237359870774563,269.952061920631,2013.6,1734.4105782085946,,36.76,2396.7,28.38,357.63343004602143,0.0564,0.0656,1.34,144.9,2013.6,0.40299999999999997,2396.7,8.092,0.068,36.76,1.23,28.38,5.55,sensu stricto,MC120,10.1002/2014GC005514,12.47,45.38,Henehan2015,300-355,Globigerinoides ruber (white)
30,324.4313312100966,112.1724402184748,436.6037714285714,9.237359870774563,269.952061920631,2013.6,1734.4105782085946,,36.76,2396.7,28.38,357.63343004602143,0.0564,0.0656,1.34,166.0,2013.6,0.40299999999999997,2396.7,8.092,0.068,36.76,1.23,28.38,5.55,sensu stricto,MC120,10.1002/2014GC005514,12.47,45.38,Henehan2015,300-355,Globigerinoides ruber (white)
31,312.4710552997554,119.50063041453035,431.97168571428574,7.966054318190731,283.68426269630055,1970.2,1678.5496829855088,,36.37,2375.7,26.86,296.817481891084,0.0613,0.0719,1.22,160.6,1970.2,0.48200000000000004,2375.7,8.156,0.02,36.37,0.21,26.86,3.64,sensu stricto,MC497,10.1002/2014GC005514,23.53,63.31,Henehan2015,300-355,Globigerinoides ruber (white)
32,311.1688734078245,113.67652659217556,424.84540000000004,8.312816453487939,269.37347524959637,1956.8,1679.1137082969155,,35.77,2341.3000000000006,26.81,308.41312945042677,0.0588,0.0685,0.98,107.4,1956.8,0.11699999999999999,2341.3,8.141,0.008,35.77,0.35,26.81,3.97,sensu stricto,ODP 664,10.1002/2014GC005514,0.1,?23.23,Henehan2015,300-355,Globigerinoides ruber (white)
33,309.6864404517233,115.75281669113392,425.4392571428572,7.964347284454918,266.6547501269145,1978.9,1704.2809025886306,,35.82,2360.7,21.95,261.1455957493115,0.0592,0.0686,1.65,119.7,1978.9,0.19899999999999998,2360.7,8.207,0.03,35.82,0.11,21.95,3.98,sensu stricto,G4,10.1002/2014GC005514,?28.42,167.25,Henehan2015,300-355,Globigerinoides ruber (white)
34,337.864669072847,99.68927378429589,437.55394285714294,11.101240214366163,234.4545030522705,2081.8,1836.2442567333637,,36.84,2411.6000000000004,24.26,388.6774959297703,0.0496,0.0562,5.52,129.7,2081.8,0.06,2411.6,8.066,0.018000000000000002,36.84,0.11,24.26,1.97,sensu stricto,CAR22(z),10.1002/2014GC005514,10.5,?64.66,Henehan2015,300-355,Globigerinoides ruber (white)
