,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,DIC,TA,TP,TS,depth_m,sal,temp_C,temp_C_MgCa,temp_C_d18O,core_depth_m,doi,lat,lon,shortref,site_info,species
14,336.96786507283775,75.12742207001942,412.0952871428572,14.3258178299821,162.9687626952545,2083.8881,1906.593519474763,13.75,34.6965,2311.6600000000003,15.085,384.15820054420504,67.1050987610809,2083.8881,2311.66,1.105,7.015,137.5,34.6965,15.085,9.10929462509488,17.0048880300732,1323.0,10.1016/j.epsl.2017.03.007,-21.359,-81.436,Krupinski2017,"RR9702A-54MC1, 2-4",N. incompta
15,337.3852063482364,76.51243722319221,413.8976435714286,14.107792955895833,167.26725977785625,2080.9707,1899.5956472662483,12.125,34.84825,2314.8099999999995,16.0905,390.19987576368976,67.9416634240036,2080.9707,2314.81,1.0185,6.095,121.25,34.84825,16.0905,9.95600001172339,16.1337829891049,2480.0,10.1016/j.epsl.2017.03.007,-20.878,-81.499,Krupinski2017,"RR9702A-60MC4, 2-4",N. incompta
16,334.8221703235283,62.92226203361458,397.7444323571429,16.61540800988818,131.80573857084588,2051.125,1902.703853419266,2.8902,33.488225,2232.3350000000005,11.988075,401.9549890902446,55.9215598471378,2051.125,2232.335,1.12486337843072,10.9966046238933,28.902,33.488225,11.988075,9.88781394118294,18.4146302521159,585.8,10.1016/j.epsl.2017.03.007,34.280783,-120.0378,Krupinski2017,SPR0901-10BC ,N. incompta
17,348.6303893752492,51.431372529512316,400.06176190476157,21.96622405034843,107.39854338252637,2104.33333333333,1974.9685659004551,2.65,33.6833333333333,2244.0333333333297,11.7666666666667,528.2389100481447,42.7939074016827,2104.33333333333,2244.03333333333,1.31,16.1533333333333,26.5,33.6833333333333,11.7666666666667,8.81362920529465,15.8204893500948,826.6,10.1016/j.epsl.2017.03.007,33.79932,-118.646781,Krupinski2017,"T785 PC68, 0-4",N. incompta
18,,,,,,,,,,,,,66.3928393487662,,,,,,,,,,636.4,10.1016/j.epsl.2017.03.007,33.875484,-118.693869,Krupinski2017,"T794 PC48, 0-2",N. incompta
19,344.7813640076373,55.219428563791276,400.0007925714285,19.948226557297094,114.72407555000358,2083.93333333333,1949.2610312260297,3.00283333333333,33.6782,2236.8833333333305,11.4845333333333,475.37094291845636,44.1866159325192,2083.93333333333,2236.88333333333,1.32518423842505,16.5594990881896,30.0283333333333,33.6782,11.4845333333333,7.80376470842059,12.395809543146,602.95,10.1016/j.epsl.2017.03.007,34.017819,-119.2395455,Krupinski2017,"T819 PC48, 0-2",N. incompta
20,332.3421657726482,83.40296737020898,415.7451331428572,12.40394078176226,183.37980961857747,2020.2507,1824.4669495996602,4.34,35.0038,2280.139999999982,18.6114,369.41454595194705,72.6770926235401,2020.2507,2280.14,1.3342,12.386,43.4,35.0038,18.6114,12.6019492936613,19.7375749100993,712.0,10.1016/j.epsl.2017.03.007,-1.0,-89.35,Krupinski2017,"V21-29, 5",N. incompta
21,333.83542596938764,82.29215117346955,416.1275771428572,12.661194590741713,180.09517587394933,2027.7386000000001,1834.9822295353092,4.8,35.036,2282.8099999999995,18.018,370.8173497960769,71.1701274052402,2027.7386,2282.81,1.394,13.03,48.0,35.036,18.018,13.1605374907827,21.0778247674132,617.0,10.1016/j.epsl.2017.03.007,-1.2,-89.7,Krupinski2017,"V21-30A, 0-2",N. incompta
22,348.8375471533907,67.43018027518075,416.2677274285715,16.90016802944608,145.77632434690923,2107.5004,1944.8239076236446,7.5,35.0478,2308.13,15.542,460.36454093786887,59.845776305527,2107.5004,2308.13,1.682,17.018,75.0,35.0478,15.542,7.551055963704,15.5208818509439,3535.0,10.1016/j.epsl.2017.03.007,-3.01,-95.07,Krupinski2017,"VNTR01-12GC, 7-9",N. incompta
23,347.09521238212216,69.5098259035922,416.60503828571433,16.255806495834207,151.56886797564377,2093.842,1926.0173255285222,6.5,35.0762,2303.2200000000003,16.77,459.28804113123726,71.7098987215587,2093.842,2303.22,1.59,14.337,65.0,35.0762,16.77,10.1767379296986,18.3984258138142,3304.0,10.1016/j.epsl.2017.03.007,-3.092,-90.823,Krupinski2017,"VNTR01-13GC, 7-9",N. incompta
