Type,calcite,calcite,calcite,calcite,derived,metadata,metadata,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,seed,seed,seed,seed,seed,seed,seed,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite
Quantity,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,f,Batch,Experiment,B/Ca,D_B,D_Mg,D_Na,D_Sr,F_V,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,fraction_vaterite,percent_vaterite,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,percent_vaterite,B,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,d13C,pH_NBS,B,B/C,C,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,pH_NBS,B/Ca,D_B,D_Mg,D_Na,D_Sr,Mg/Ca,Na/Ca,Sr/Ca
Instrument,calc,calc,calc,calc,calc,NA,NA,calc,calc,calc,calc,calc,calc,calc,calc,calc,iCap,iCap,iCap,iCap,GS-IRMS,SEM,XRD,XRD,Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),GS-IRMS,SEM,XRD,Agilent,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,GS-IRMS,electrode,Agilent,calc,dissolution,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,electrode,calc,calc,calc,calc,calc,calc,calc,calc
Unit,,,,,fractional_abundance,NA,NA,mol/mol,,,,,fractional_abundance,mol/mol,mol/mol,mol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,mass_fraction,percent,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,percent,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,permil,Unnamed: 30_level_3,mmol,mol/mol,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,Unnamed: 29_level_3,mol/mol,,,,,mol/mol,mol/mol,mol/mol
36,(1.0+/-0.5)e-05,0.003+/-0.006,(2.5+/-1.3)e-06,0.0014+/-0.0006,0.281+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0377+/-0.0034,0.74+/-0.16,0.128+/-0.012,0.303+/-0.018,0.0075+/-0.0004,0.019+/-0.004,0.00247+/-0.00014,nan+/-nan,2.13+/-0.11,17.0+/-0.8,0.74+/-0.04,129.3+/-1.0,4.5,0.7665+/-0.0025,76.82,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.00211+/-0.00011,11.7+/-0.6,2.11+/-0.11,0.181+/-0.013,0.268+/-0.013,0.0229+/-0.0016,0.209+/-0.010,0.0179+/-0.0013,nan+/-1.0,7.435,0.0520+/-0.0026,0.0104+/-0.0005,5,10.9+/-0.5,2.15+/-0.11,0.198+/-0.014,0.273+/-0.014,0.0251+/-0.0018,0.210+/-0.010,0.0193+/-0.0014,8.204,nan+/-nan,nan+/-nan,0.09+/-0.07,2.4+/-0.5,0.26+/-0.08,0.018+/-0.014,0.061+/-0.013,0.0050+/-0.0015
37,(1.9+/-0.9)e-06,0.014+/-0.030,(2.6+/-1.3)e-06,0.00010+/-0.00004,0.300+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0224+/-0.0020,0.01+/-0.11,0.102+/-0.014,0.529+/-0.012,0.0222+/-0.0012,0.0003+/-0.0027,0.000146+/-0.000017,nan+/-nan,6.71+/-0.34,11.5+/-0.6,0.088+/-0.004,125.8+/-1.0,4.31,0.8219+/-0.0021,83.68,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0347+/-0.0017,10.3+/-0.5,10.2+/-0.5,0.99+/-0.07,0.266+/-0.013,0.0258+/-0.0018,0.0149+/-0.0007,0.00145+/-0.00010,nan+/-1.0,7.611,0.0093+/-0.0005,0.00185+/-0.00009,5,10.5+/-0.5,10.4+/-0.5,0.99+/-0.07,0.272+/-0.014,0.0258+/-0.0018,0.0150+/-0.0008,0.00143+/-0.00010,8.198,nan+/-nan,nan+/-nan,0.030+/-0.027,0.02+/-0.20,0.13+/-0.04,0.030+/-0.027,0.001+/-0.005,0.00019+/-0.00005
38,(8+/-4)e-06,0.014+/-0.030,(2.6+/-1.3)e-06,0.0013+/-0.0006,0.290+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0217+/-0.0020,-0.03+/-0.11,0.107+/-0.010,0.566+/-0.011,0.0216+/-0.0012,-0.0008+/-0.0028,0.00201+/-0.00012,nan+/-nan,6.32+/-0.32,11.4+/-0.6,0.628+/-0.031,127.7+/-1.0,4.27,0.8369+/-0.0019,84.03,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0361+/-0.0018,10.3+/-0.5,10.3+/-0.5,1.01+/-0.07,0.266+/-0.013,0.0259+/-0.0018,0.196+/-0.010,0.0191+/-0.0014,nan+/-1.0,7.655,0.0417+/-0.0021,0.0083+/-0.0004,5,10.5+/-0.5,10.4+/-0.5,1.00+/-0.07,0.269+/-0.013,0.0257+/-0.0018,0.196+/-0.010,0.0188+/-0.0013,8.221,nan+/-nan,nan+/-nan,0.028+/-0.023,-0.06+/-0.19,0.135+/-0.029,0.028+/-0.023,-0.001+/-0.005,0.0025+/-0.0005
39,(7+/-4)e-06,0.007+/-0.015,(2.6+/-1.3)e-06,0.00010+/-0.00005,0.257+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0306+/-0.0028,-0.04+/-0.13,0.069+/-0.012,0.524+/-0.014,0.0152+/-0.0009,-0.0011+/-0.0033,0.000103+/-0.000017,nan+/-nan,3.94+/-0.20,11.9+/-0.6,0.074+/-0.004,133.8+/-1.0,4.37,0.8387+/-0.0019,,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-nan,nan+/-1.0,7.539,0.0354+/-0.0018,0.00708+/-0.00035,5,10.4+/-0.5,5.18+/-0.26,0.497+/-0.035,0.267+/-0.013,0.0257+/-0.0018,0.0156+/-0.0008,0.00149+/-0.00011,8.206,nan+/-nan,nan+/-nan,0.046+/-0.028,-0.08+/-0.25,0.07+/-0.04,0.023+/-0.014,-0.002+/-0.006,0.00010+/-0.00005
40,(5.2+/-2.6)e-06,0.006+/-0.013,(2.3+/-1.2)e-06,0.00033+/-0.00014,0.259+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0354+/-0.0032,0.37+/-0.16,0.121+/-0.012,0.419+/-0.016,0.0157+/-0.0009,0.008+/-0.004,0.00056+/-0.00004,nan+/-nan,4.10+/-0.20,14.3+/-0.7,0.193+/-0.010,133.6+/-1.0,4.46,0.8110+/-0.0022,82.13,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0372+/-0.0019,10.2+/-0.5,5.11+/-0.26,0.502+/-0.035,0.264+/-0.013,0.0259+/-0.0018,0.0532+/-0.0027,0.0052+/-0.0004,nan+/-1.0,7.539,0.0259+/-0.0013,0.00517+/-0.00026,5,10.4+/-0.5,4.64+/-0.23,0.444+/-0.031,0.240+/-0.012,0.0230+/-0.0016,0.0485+/-0.0024,0.00465+/-0.00033,8.213,nan+/-nan,nan+/-nan,0.07+/-0.04,0.9+/-0.4,0.19+/-0.05,0.029+/-0.019,0.020+/-0.009,0.00089+/-0.00022
41,(8+/-4)e-06,0.007+/-0.015,(2.5+/-1.3)e-06,0.00065+/-0.00028,0.345+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0240+/-0.0021,0.42+/-0.11,0.086+/-0.008,0.530+/-0.010,0.0118+/-0.0006,0.0105+/-0.0026,0.00079+/-0.00005,nan+/-nan,4.11+/-0.21,14.3+/-0.7,0.315+/-0.016,117.5+/-1.0,4.32,0.8036+/-0.0022,80.73,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0416+/-0.0021,9.7+/-0.5,4.89+/-0.24,0.502+/-0.035,0.249+/-0.012,0.0256+/-0.0018,0.092+/-0.005,0.0094+/-0.0007,nan+/-1.0,7.544,0.0417+/-0.0021,0.0083+/-0.0004,5,9.7+/-0.5,4.76+/-0.24,0.492+/-0.035,0.245+/-0.012,0.0253+/-0.0018,0.089+/-0.004,0.0092+/-0.0007,8.215,nan+/-nan,nan+/-nan,0.033+/-0.027,0.79+/-0.20,0.099+/-0.031,0.016+/-0.013,0.020+/-0.005,0.00092+/-0.00027
42,(6.2+/-3.1)e-06,0.007+/-0.015,(2.5+/-1.3)e-06,0.0013+/-0.0006,0.310+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0271+/-0.0024,0.40+/-0.12,0.109+/-0.010,0.409+/-0.014,0.0133+/-0.0007,0.0100+/-0.0029,0.00209+/-0.00012,nan+/-nan,4.16+/-0.21,14.4+/-0.7,0.694+/-0.035,124.0+/-1.0,4.41,0.7805+/-0.0024,95.77,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0471+/-0.0024,10.2+/-0.5,5.11+/-0.26,0.501+/-0.035,0.264+/-0.013,0.0259+/-0.0018,0.200+/-0.010,0.0195+/-0.0014,nan+/-1.0,7.53,0.0308+/-0.0015,0.00616+/-0.00031,5,10.7+/-0.5,5.25+/-0.26,0.490+/-0.035,0.271+/-0.014,0.0253+/-0.0018,0.206+/-0.010,0.0193+/-0.0014,8.205,nan+/-nan,nan+/-nan,0.05+/-0.04,0.97+/-0.29,0.16+/-0.05,0.023+/-0.021,0.025+/-0.007,0.0032+/-0.0009
43,(2.5+/-1.3)e-05,(0.8+/-1.6)e-05,(2.8+/-1.4)e-06,(7.3+/-3.2)e-06,0.306+/-0.007,4,B,0.000299+/-0.000016,0.0119+/-0.0009,0.049+/-0.015,2.86+/-0.30,-0.10+/-0.10,0.450+/-0.013,(2.7+/-0.8)e-05,0.079+/-0.006,(-1.1+/-1.0)e-05,0.091+/-0.005,0.0394+/-0.0020,35.6+/-1.8,0.0409+/-0.0020,124.8+/-1.0,4.19,0.7955+/-0.0023,79.88,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.120+/-0.006,10.5+/-0.5,-0.00594+/-0.00030,-0.00057+/-0.00004,0.285+/-0.014,0.0271+/-0.0019,0.00101+/-0.00005,(9.6+/-0.7)e-05,nan+/-1.0,7.476,0.125+/-0.006,0.0251+/-0.0013,5,10.6+/-0.5,0.00577+/-0.00029,0.00055+/-0.00004,0.293+/-0.015,0.0277+/-0.0020,0.00110+/-0.00006,0.000105+/-0.000007,8.196,0.00063+/-0.00005,0.0253+/-0.0023,0.09+/-0.05,6.4+/-0.7,-0.32+/-0.22,(5.0+/-2.7)e-05,0.176+/-0.016,(-3.3+/-2.3)e-05
44,(4.4+/-2.2)e-05,(0.6+/-1.4)e-05,(2.9+/-1.4)e-06,(6.9+/-3.0)e-06,0.315+/-0.007,4,B,0.000596+/-0.000032,0.0136+/-0.0010,-0.001+/-0.015,2.97+/-0.31,-0.11+/-0.10,0.470+/-0.013,(-0+/-7)e-06,0.085+/-0.006,(-1.1+/-1.0)e-05,0.188+/-0.009,0.0306+/-0.0015,38.1+/-1.9,0.0401+/-0.0020,123.0+/-1.0,4.32,0.7972+/-0.0023,79.74,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.222+/-0.011,10.0+/-0.5,-0.00594+/-0.00030,-0.00059+/-0.00004,0.284+/-0.014,0.0283+/-0.0020,0.00086+/-0.00004,(8.5+/-0.6)e-05,nan+/-1.0,7.478,0.219+/-0.011,0.0438+/-0.0022,5,9.7+/-0.5,0.00448+/-0.00022,0.000462+/-0.000033,0.279+/-0.014,0.0287+/-0.0020,0.00096+/-0.00005,(9.9+/-0.7)e-05,8.196,0.00122+/-0.00009,0.0278+/-0.0025,-0.02+/-0.05,6.3+/-0.7,-0.32+/-0.21,(-0.8+/-2.2)e-05,0.181+/-0.015,(-3.1+/-2.1)e-05
45,(6.2+/-3.1)e-05,0.00005+/-0.00010,(2.7+/-1.4)e-06,(7.6+/-3.3)e-06,0.317+/-0.007,4,B,0.000609+/-0.000033,0.0099+/-0.0007,-0.0013+/-0.0020,0.99+/-0.15,-0.06+/-0.09,0.460+/-0.013,(-4+/-7)e-06,0.027+/-0.004,(-0.7+/-1.0)e-05,0.193+/-0.010,0.0293+/-0.0015,19.7+/-1.0,0.0414+/-0.0021,122.8+/-1.0,4.5,0.7934+/-0.0023,79.6,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.280+/-0.014,9.6+/-0.5,-0.00594+/-0.00030,-0.00062+/-0.00004,0.262+/-0.013,0.0274+/-0.0019,0.00085+/-0.00004,(8.9+/-0.6)e-05,nan+/-1.0,7.48,0.308+/-0.015,0.0617+/-0.0031,5,9.9+/-0.5,0.0337+/-0.0017,0.00341+/-0.00024,0.271+/-0.014,0.0275+/-0.0019,0.00107+/-0.00005,0.000108+/-0.000008,8.201,0.00125+/-0.00010,0.0203+/-0.0019,-0.019+/-0.035,2.14+/-0.33,-0.22+/-0.20,-0.00007+/-0.00012,0.059+/-0.008,(-2.3+/-2.1)e-05
46,(8+/-4)e-05,(0.7+/-1.5)e-05,(2.8+/-1.4)e-06,(5.9+/-2.5)e-06,0.308+/-0.007,4,B,0.00104+/-0.00006,0.0131+/-0.0010,-0.010+/-0.014,3.05+/-0.32,-0.11+/-0.12,0.435+/-0.014,(-5+/-7)e-06,0.086+/-0.007,(-0.9+/-1.0)e-05,0.320+/-0.016,0.0296+/-0.0015,37.9+/-1.9,0.0413+/-0.0021,124.5+/-1.0,4.51,0.7901+/-0.0023,77.32,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.353+/-0.018,9.7+/-0.5,-0.00594+/-0.00030,-0.00061+/-0.00004,0.262+/-0.013,0.0269+/-0.0019,0.00073+/-0.00004,(7.6+/-0.5)e-05,nan+/-1.0,7.501,0.396+/-0.020,0.079+/-0.004,5,9.0+/-0.5,0.00448+/-0.00022,0.000496+/-0.000035,0.256+/-0.013,0.0283+/-0.0020,0.00076+/-0.00004,(8.4+/-0.6)e-05,8.194,0.00229+/-0.00018,0.0289+/-0.0027,-0.04+/-0.05,7.0+/-0.8,-0.34+/-0.28,(-2.0+/-2.5)e-05,0.199+/-0.018,(-2.8+/-2.3)e-05
47,0.00010+/-0.00005,(0.7+/-1.4)e-05,(2.8+/-1.4)e-06,(6.0+/-2.6)e-06,0.321+/-0.007,4,B,0.00125+/-0.00007,0.0122+/-0.0009,-0.022+/-0.014,2.81+/-0.29,-0.09+/-0.11,0.565+/-0.010,(-1.0+/-0.6)e-05,0.079+/-0.006,(-8+/-9)e-06,0.403+/-0.020,0.0271+/-0.0014,36.5+/-1.8,0.0408+/-0.0020,121.9+/-1.0,4.7,0.8250+/-0.0020,82.22,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.516+/-0.026,9.9+/-0.5,-0.00594+/-0.00030,-0.00060+/-0.00004,0.276+/-0.014,0.0278+/-0.0020,0.00086+/-0.00004,(8.6+/-0.6)e-05,nan+/-1.0,7.491,0.515+/-0.026,0.103+/-0.005,5,9.5+/-0.5,0.00448+/-0.00022,0.000473+/-0.000033,0.266+/-0.013,0.0281+/-0.0020,0.00081+/-0.00004,(8.6+/-0.6)e-05,8.205,0.00214+/-0.00014,0.0207+/-0.0017,-0.050+/-0.034,5.0+/-0.5,-0.21+/-0.20,(-2.4+/-1.6)e-05,0.140+/-0.011,(-1.8+/-1.7)e-05
