Type,calcite,calcite,calcite,calcite,derived,metadata,metadata,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,overgrowth,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,seed,seed,seed,seed,seed,seed,seed,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_end,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,solution_start,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite,vaterite
Quantity,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,f,Batch,Experiment,B/Ca,D_B,D_Mg,D_Na,D_Sr,F_V,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,fraction_vaterite,percent_vaterite,B/Ca,Mg/Ca,Na/Ca,Sr/Ca,d13C,diameter,percent_vaterite,B,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,d13C,pH_NBS,B,B/C,C,Ca,Mg,Mg/Ca,Na,Na/Ca,Sr,Sr/Ca,pH_NBS,B/Ca,D_B,D_Mg,D_Na,D_Sr,Mg/Ca,Na/Ca,Sr/Ca
Instrument,calc,calc,calc,calc,calc,NA,NA,calc,calc,calc,calc,calc,calc,calc,calc,calc,iCap,iCap,iCap,iCap,GS-IRMS,SEM,XRD,XRD,Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),GS-IRMS,SEM,XRD,Agilent,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,GS-IRMS,electrode,Agilent,calc,dissolution,Agilent,Agilent,calc,Agilent,calc,Agilent,calc,electrode,calc,calc,calc,calc,calc,calc,calc,calc
Unit,,,,,fractional_abundance,NA,NA,mol/mol,,,,,fractional_abundance,mol/mol,mol/mol,mol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,mass_fraction,percent,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,μm,percent,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,permil,Unnamed: 30_level_3,mmol,mol/mol,mmol,mmol,mmol,mol/mol,mmol,mol/mol,mmol,mol/mol,Unnamed: 29_level_3,mol/mol,,,,,mol/mol,mol/mol,mol/mol
22,(3.9+/-2.0)e-06,(0.7+/-1.4)e-05,(2.6+/-1.3)e-06,(8.0+/-3.5)e-05,0.371+/-0.006,2,Sr,nan+/-nan,nan+/-nan,-0.076+/-0.011,2.48+/-0.24,0.089+/-0.011,0.159+/-0.016,(-3.5+/-0.4)e-05,0.065+/-0.004,0.000102+/-0.000011,nan+/-nan,0.0136+/-0.0007,31.2+/-1.6,0.0708+/-0.0035,120.6+/-1.0,5.49,0.6585+/-0.0032,67.27,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0322+/-0.0016,9.6+/-0.5,0.0121+/-0.0006,0.00125+/-0.00009,0.280+/-0.014,0.0291+/-0.0021,0.0122+/-0.0006,0.00127+/-0.00009,3.1+/-1.0,7.457,0.0194+/-0.0010,0.00388+/-0.00019,5,10.7+/-0.5,0.00499+/-0.00025,0.000465+/-0.000033,0.280+/-0.014,0.0261+/-0.0018,0.0122+/-0.0006,0.00114+/-0.00008,8.201,nan+/-nan,nan+/-nan,-0.55+/-0.19,15.6+/-2.3,0.19+/-0.17,-0.00026+/-0.00009,0.41+/-0.05,0.00022+/-0.00020
23,(8+/-4)e-06,(-0.7+/-1.5)e-05,(2.6+/-1.3)e-06,0.00033+/-0.00014,0.433+/-0.006,2,Sr,nan+/-nan,nan+/-nan,0.159+/-0.013,0.08+/-0.04,0.094+/-0.009,-0.138+/-0.018,(-8.2+/-0.4)e-05,0.0022+/-0.0012,0.000448+/-0.000027,nan+/-nan,-0.0114+/-0.0006,7.5+/-0.4,0.224+/-0.011,108.3+/-1.0,5.53,0.4804+/-0.0035,53.7,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0513+/-0.0026,10.9+/-0.5,0.0121+/-0.0006,0.00111+/-0.00008,0.279+/-0.014,0.0257+/-0.0018,0.0512+/-0.0026,0.00470+/-0.00033,3.1+/-1.0,7.443,0.0395+/-0.0020,0.0079+/-0.0004,5,10.2+/-0.5,-0.00523+/-0.00026,-0.00051+/-0.00004,0.267+/-0.013,0.0262+/-0.0019,0.0483+/-0.0024,0.00475+/-0.00034,8.214,nan+/-nan,nan+/-nan,-1.04+/-0.29,-0.60+/-0.34,-0.11+/-0.26,0.00053+/-0.00014,-0.016+/-0.009,-0.0005+/-0.0012
24,(2.9+/-1.4)e-06,(-0.7+/-1.5)e-05,(2.6+/-1.3)e-06,0.00069+/-0.00030,0.415+/-0.006,2,Sr,nan+/-nan,nan+/-nan,0.178+/-0.015,0.08+/-0.05,0.094+/-0.008,0.185+/-0.014,(-8.7+/-0.4)e-05,0.0020+/-0.0012,0.00093+/-0.00005,nan+/-nan,-0.0114+/-0.0006,7.6+/-0.4,0.417+/-0.021,111.9+/-1.0,5.27,0.6344+/-0.0033,61.5,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0177+/-0.0009,9.9+/-0.5,0.0121+/-0.0006,0.00122+/-0.00009,0.261+/-0.013,0.0264+/-0.0019,0.099+/-0.005,0.0100+/-0.0007,2.1+/-1.0,7.439,0.0143+/-0.0007,0.00287+/-0.00014,5,10.7+/-0.5,-0.00523+/-0.00026,-0.000489+/-0.000035,0.278+/-0.014,0.0260+/-0.0018,0.106+/-0.005,0.0099+/-0.0007,8.214,nan+/-nan,nan+/-nan,0.90+/-0.18,0.42+/-0.26,0.20+/-0.14,-0.00044+/-0.00008,0.011+/-0.007,0.0020+/-0.0014
25,(3.7+/-1.9)e-06,(-0.7+/-1.5)e-05,(2.6+/-1.3)e-06,0.0009+/-0.0004,0.390+/-0.006,2,Sr,nan+/-nan,nan+/-nan,0.197+/-0.016,0.53+/-0.08,0.101+/-0.009,0.041+/-0.017,(-9.5+/-0.4)e-05,0.0136+/-0.0018,0.00132+/-0.00007,nan+/-nan,-0.0114+/-0.0006,12.3+/-0.6,0.545+/-0.027,116.8+/-1.0,5.21,0.5972+/-0.0034,60.2,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0357+/-0.0018,11.0+/-0.5,0.0121+/-0.0006,0.00110+/-0.00008,0.272+/-0.014,0.0247+/-0.0017,0.137+/-0.007,0.0125+/-0.0009,2.2+/-1.0,7.467,0.0185+/-0.0009,0.00370+/-0.00018,5,10.8+/-0.5,-0.00523+/-0.00026,-0.000485+/-0.000034,0.276+/-0.014,0.0256+/-0.0018,0.140+/-0.007,0.0130+/-0.0009,8.217,nan+/-nan,nan+/-nan,4.5+/-2.1,13+/-6,0.8+/-0.8,-0.0022+/-0.0010,0.33+/-0.15,0.011+/-0.011
26,(6.3+/-3.2)e-06,(-0.7+/-1.5)e-05,(2.6+/-1.3)e-06,0.0013+/-0.0006,0.440+/-0.006,2,Sr,nan+/-nan,nan+/-nan,0.161+/-0.013,0.16+/-0.05,0.097+/-0.009,0.035+/-0.015,(-7.98+/-0.35)e-05,0.0044+/-0.0012,0.00177+/-0.00010,nan+/-nan,-0.0114+/-0.0006,8.4+/-0.4,0.81+/-0.04,107.0+/-1.0,5.22,0.5492+/-0.0035,52.7,0.0168+/-0.0008,0.0424+/-0.0021,11.5+/-0.6,0.0526+/-0.0026,193.9+/-1.0,5,95.32,0.0216+/-0.0011,12.5+/-0.6,0.091+/-0.005,0.0073+/-0.0005,0.255+/-0.013,0.0204+/-0.0014,0.178+/-0.009,0.0142+/-0.0010,3.6+/-1.0,7.452,0.0314+/-0.0016,0.00627+/-0.00031,5,10.5+/-0.5,-0.00523+/-0.00026,-0.000496+/-0.000035,0.279+/-0.014,0.0265+/-0.0019,0.193+/-0.010,0.0183+/-0.0013,8.202,nan+/-nan,nan+/-nan,4.3+/-2.2,4.8+/-2.4,0.8+/-1.0,-0.0021+/-0.0011,0.13+/-0.06,0.015+/-0.017
30,(1.3+/-0.7)e-07,0.003+/-0.006,(2.7+/-1.3)e-06,0.00033+/-0.00014,0.210+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.047+/-0.004,3.8+/-0.4,0.133+/-0.014,0.100+/-0.031,0.0095+/-0.0006,0.100+/-0.009,0.00062+/-0.00005,nan+/-nan,2.02+/-0.10,34.0+/-1.7,0.180+/-0.009,142.6+/-1.0,4.27,0.7700+/-0.0025,74.52,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0329+/-0.0016,10.3+/-0.5,2.05+/-0.10,0.199+/-0.014,0.276+/-0.014,0.0269+/-0.0019,0.0465+/-0.0023,0.00453+/-0.00032,nan+/-1.0,7.51,0.000670+/-0.000033,0.000134+/-0.000007,5,10.0+/-0.5,1.99+/-0.10,0.200+/-0.014,0.265+/-0.013,0.0266+/-0.0019,0.0465+/-0.0023,0.00467+/-0.00033,8.213,nan+/-nan,nan+/-nan,0.35+/-0.30,38+/-13,0.7+/-0.4,0.07+/-0.06,1.01+/-0.35,0.0033+/-0.0017
31,(7+/-4)e-06,0.003+/-0.006,(2.7+/-1.4)e-06,0.00063+/-0.00028,0.341+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0317+/-0.0028,2.60+/-0.27,0.100+/-0.009,0.379+/-0.014,0.00632+/-0.00034,0.070+/-0.005,0.00091+/-0.00005,nan+/-nan,2.18+/-0.11,34.5+/-1.7,0.351+/-0.018,118.4+/-1.0,4.26,0.7541+/-0.0026,77.28,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0494+/-0.0025,9.2+/-0.5,1.99+/-0.10,0.217+/-0.015,0.267+/-0.013,0.0292+/-0.0021,0.089+/-0.004,0.0097+/-0.0007,nan+/-1.0,7.522,0.0367+/-0.0018,0.0073+/-0.0004,5,9.6+/-0.5,1.92+/-0.10,0.200+/-0.014,0.258+/-0.013,0.0269+/-0.0019,0.087+/-0.004,0.0091+/-0.0006,8.205,nan+/-nan,nan+/-nan,0.06+/-0.05,6.9+/-0.8,0.15+/-0.06,0.012+/-0.010,0.184+/-0.017,0.0014+/-0.0005
32,(1.0+/-0.5)e-05,0.014+/-0.029,(2.6+/-1.3)e-06,0.00033+/-0.00014,0.263+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0280+/-0.0025,2.54+/-0.30,0.108+/-0.011,0.446+/-0.015,0.0275+/-0.0016,0.065+/-0.006,0.00051+/-0.00004,nan+/-nan,7.3+/-0.4,29.2+/-1.5,0.180+/-0.009,132.7+/-1.0,4.12,0.8157+/-0.0021,84.92,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0431+/-0.0022,8.8+/-0.4,9.4+/-0.5,1.07+/-0.08,0.245+/-0.012,0.0280+/-0.0020,0.0416+/-0.0021,0.00474+/-0.00034,nan+/-1.0,7.672,0.0494+/-0.0025,0.0099+/-0.0005,5,10.3+/-0.5,10.1+/-0.5,0.98+/-0.07,0.265+/-0.013,0.0257+/-0.0018,0.0484+/-0.0024,0.00469+/-0.00033,8.214,nan+/-nan,nan+/-nan,0.05+/-0.04,5.7+/-0.7,0.16+/-0.05,0.04+/-0.04,0.146+/-0.015,0.00073+/-0.00020
33,(5.4+/-2.7)e-06,0.014+/-0.029,(2.6+/-1.3)e-06,0.00062+/-0.00027,0.282+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0268+/-0.0024,2.56+/-0.29,0.112+/-0.011,0.443+/-0.015,0.0260+/-0.0015,0.066+/-0.006,0.00099+/-0.00006,nan+/-nan,7.4+/-0.4,30.3+/-1.5,0.325+/-0.016,129.3+/-1.0,4.05,0.8058+/-0.0022,81.24,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0522+/-0.0026,9.4+/-0.5,9.4+/-0.5,1.00+/-0.07,0.250+/-0.012,0.0265+/-0.0019,0.085+/-0.004,0.0090+/-0.0006,nan+/-1.0,7.678,0.0271+/-0.0014,0.00541+/-0.00027,5,10.2+/-0.5,9.9+/-0.5,0.97+/-0.07,0.263+/-0.013,0.0257+/-0.0018,0.091+/-0.005,0.0089+/-0.0006,8.214,nan+/-nan,nan+/-nan,0.04+/-0.04,5.8+/-0.7,0.16+/-0.05,0.04+/-0.04,0.148+/-0.015,0.0015+/-0.0004
35,(6.8+/-3.4)e-07,0.003+/-0.006,(2.5+/-1.3)e-06,0.00010+/-0.00004,0.284+/-0.007,3,Mg+Sr,nan+/-nan,nan+/-nan,0.0364+/-0.0033,1.79+/-0.23,0.061+/-0.011,0.557+/-0.012,0.0071+/-0.0004,0.045+/-0.005,(8.5+/-1.5)e-05,nan+/-nan,2.06+/-0.10,24.4+/-1.2,0.0698+/-0.0035,128.9+/-1.0,4.38,0.8369+/-0.0019,83.65,(-5.00+/-0.25)e-05,0.0449+/-0.0022,16.3+/-0.8,0.0637+/-0.0032,181.4+/-1.0,4,94.79,0.0313+/-0.0016,9.2+/-0.5,1.99+/-0.10,0.215+/-0.015,0.254+/-0.013,0.0276+/-0.0019,0.0141+/-0.0007,0.00153+/-0.00011,nan+/-1.0,7.473,0.00342+/-0.00017,0.000685+/-0.000034,5,10.1+/-0.5,1.98+/-0.10,0.196+/-0.014,0.252+/-0.013,0.0250+/-0.0018,0.0141+/-0.0007,0.00139+/-0.00010,8.215,nan+/-nan,nan+/-nan,0.054+/-0.025,3.2+/-0.4,0.054+/-0.031,0.011+/-0.005,0.080+/-0.009,(8+/-4)e-05
