Type,metadata,metadata,seed,seed,seed,seed,seed,seed,seed,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,precipitate,solution_start,solution_start,solution_start,solution_start,solution_start,solution_end,solution_end,solution_end,solution_end,solution_end,solution_start,solution_end,solution_start,solution_end
Quantity,Batch,Experiment,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,d13C,percent_vaterite,diameter,Mg/Ca,Na/Ca,Sr/Ca,B/Ca,d13C,percent_vaterite,diameter,Mg,Ca,Sr,B,Na,Mg,Ca,Sr,B,Na,C,d13C,pH_NBS,pH_NBS
Instrument,NA,NA,Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),Agilent (10) / iCap (28),GS-IRMS,XRD,SEM,iCap,iCap,iCap,iCap,GS-IRMS,XRD,SEM,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,Agilent,dissolution,GS-IRMS,electrode,electrode
Unit,NA,NA,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,percent,μm,mmol/mol,mmol/mol,mmol/mol,mmol/mol,permil,percent,μm,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,mmol,permil,NA,NA
37,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,6.709,11.527,0.0883,,125.84,83.68,4.31,10.42803906,10.52549699,0.015018687,0.009269622,272.023905,10.24504886,10.32795939,0.014938331,0.034733414,266.32589,5,,8.198,7.611
38,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,6.3152,11.3539,0.6276,,127.68,84.03,4.27,10.40895832,10.46022584,0.196492239,0.04171716,269.030033,10.32559089,10.27390727,0.196184807,0.036145529,265.649854,5,,8.221,7.655
39,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,3.9405,11.8546,0.0739,,133.82,,4.37,5.176408482,10.41334854,0.015550714,0.03538097,267.420424,,,,,,5,,8.206,7.539
40,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,4.0963,14.2993,0.1928,,133.56,82.13,4.46,4.636152793,10.43766919,0.048493275,0.025868847,239.606382,5.112273264,10.18604625,0.053171262,0.03716867,264.040245,5,,8.213,7.539
41,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,4.1113,14.3434,0.3146,,117.54,80.73,4.32,4.760201896,9.668475323,0.089309026,0.041704917,244.885899,4.885865617,9.734701324,0.091874438,0.041600484,249.167459,5,,8.215,7.544
42,3,Mg+Sr,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,4.1598,14.3904,0.6939,,123.96,95.77,4.41,5.248600903,10.70589954,0.206222149,0.030778901,270.929371,5.112305646,10.21353002,0.19952256,0.047099105,264.072437,5,,8.205,7.53
43,4,B,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,0.0394,35.6003,0.0409,0.0913,124.8,79.88,4.19,0.005768786,10.55892483,0.001104391,0.125262935,292.948821,-0.003791963,10.5028523,0.001011207,0.119740215,284.611047,5,,8.196,7.476
44,4,B,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,0.0306,38.0547,0.0401,0.188,123.05,79.74,4.32,-0.001029251,9.712493638,0.00096236,0.219012341,278.848647,-0.007365443,10.04926266,0.000856338,0.221590158,283.967203,5,,8.196,7.478
45,4,B,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,0.0293,19.7428,0.0414,0.1929,122.75,79.6,4.5,0.033746821,9.883059066,0.001070908,0.308256088,271.34787,-0.004391585,9.554970068,0.00085374,0.280152141,262.269675,5,,8.201,7.48
46,4,B,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,0.0296,37.9275,0.0413,0.3201,124.46,77.32,4.51,-0.00935992,9.039596865,0.000757421,0.39559219,255.992201,-0.009103699,9.710088393,0.000734233,0.353387256,261.658024,5,,8.194,7.501
47,4,B,0.0449,16.3459,0.0637,-0.00005,181.44,94.79,4,0.0271,36.4518,0.0408,0.4026,121.93,82.22,4.7,-0.006713278,9.484496159,0.000812583,0.514907476,266.358082,-0.00503115,9.930928213,0.000856835,0.516385354,275.726006,5,,8.205,7.491
