# Exported on: 2023-07-11 15:42:08
,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_alpha_LSVEC,Li_isotopes_vs_fluid,Li_isotopes_vs_fluid,Li_isotopes_vs_fluid,Li_isotopes_vs_fluid,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,MassBalance,OG,OG,OG,OG,R,R,R,R,R,R,R,R,R,R,isotopes,isotopes,isotopes,isotopes,isotopes,isotopes,labels,labels,labels,labels,labels,labels,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,llnl_LiHCO3,mass,mass,mass,mass,mass,mass,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,minteq.v4_Li,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,pitzer_Li,solid,solid,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq,solution_phreeq
,OG,OG,fluid_post,fluid_post,fluid_pre,fluid_pre,solid,solid,alpha_og,alpha_og,epsilon_og,epsilon_og,f_og,f_og,og_A,og_A,og_alpha,og_alpha,sample_A,sample_A,seed_A,seed_A,seed_alpha,seed_alpha,DLi,DLi,LiCa,LiCa,R_13C,R_13C,final_vol_13C,final_vol_13C,log10R_13C,log10R_13C,n_seeds,n_seeds,seed_vol,seed_vol,alpha_PDB,alpha_PDB,d13C_PDB,d13C_PDB,d18O_PDB,d18O_PDB,Control,Control,LiCl_batch,LiCl_batch,Replicate,Replicate,Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),Final_mg,Final_mg,Initial_mg,Initial_mg,f_og,f_og,Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),Alk(eq/kgw),Alk(eq/kgw),C(mol/kgw),C(mol/kgw),Ca(mol/kgw),Ca(mol/kgw),Cl(mol/kgw),Cl(mol/kgw),Li(mol/kgw),Li(mol/kgw),Na(mol/kgw),Na(mol/kgw),la_CO2,la_CO2,la_CO3-2,la_CO3-2,la_Ca+2,la_Ca+2,la_CaCO3,la_CaCO3,la_CaHCO3+,la_CaHCO3+,la_CaOH+,la_CaOH+,la_Cl-,la_Cl-,la_H+,la_H+,la_H2CO3,la_H2CO3,la_HCO3-,la_HCO3-,la_Li+,la_Li+,la_LiHCO3,la_LiHCO3,la_LiOH,la_LiOH,la_LiSO4,la_LiSO4,la_Na+,la_Na+,la_NaCO3-,la_NaCO3-,la_NaHCO3,la_NaHCO3,la_OH-,la_OH-,m_CO2(mol/kgw),m_CO2(mol/kgw),m_CO3-2(mol/kgw),m_CO3-2(mol/kgw),m_Ca+2(mol/kgw),m_Ca+2(mol/kgw),m_CaCO3(mol/kgw),m_CaCO3(mol/kgw),m_CaHCO3+(mol/kgw),m_CaHCO3+(mol/kgw),m_CaOH+(mol/kgw),m_CaOH+(mol/kgw),m_Cl-(mol/kgw),m_Cl-(mol/kgw),m_H+(mol/kgw),m_H+(mol/kgw),m_H2CO3(mol/kgw),m_H2CO3(mol/kgw),m_HCO3-(mol/kgw),m_HCO3-(mol/kgw),m_Li+(mol/kgw),m_Li+(mol/kgw),m_LiHCO3(mol/kgw),m_LiHCO3(mol/kgw),m_LiOH(mol/kgw),m_LiOH(mol/kgw),m_LiSO4(mol/kgw),m_LiSO4(mol/kgw),m_Na+(mol/kgw),m_Na+(mol/kgw),m_NaCO3-(mol/kgw),m_NaCO3-(mol/kgw),m_NaHCO3(mol/kgw),m_NaHCO3(mol/kgw),m_OH-(mol/kgw),m_OH-(mol/kgw),mu,mu,pH,pH,pe,pe,si_Aragonite,si_Aragonite,si_Calcite,si_Calcite,temp(C),temp(C),LiCa,LiCa,Ca,Ca,Exp_Duration_s,Exp_Duration_s,Li,Li,LiCa,LiCa,Na,Na,NaCa,NaCa,TempC,TempC,added_C,added_C,added_Ca,added_Ca,added_CaCl2,added_CaCl2,added_Cl,added_Cl,added_Li,added_Li,added_LiCa,added_LiCa,added_LiCl,added_LiCl,added_Na,added_Na,added_NaHCO3,added_NaHCO3,f_DIC,f_DIC,pH,pH,pre_Ca,pre_Ca,pre_Li,pre_Li,pre_LiCa,pre_LiCa,pre_Na,pre_Na,pre_NaCa,pre_NaCa,C,C,Ca,Ca,Cl,Cl,Li,Li,Na,Na,pH,pH,temp,temp
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
