,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,BOH4_HCO3,BT,depth_m,n,pHtot,temp_C,Core,comments,doi,lat,lon,sample_depth,shortref,species
17,350.1464320383755,64.88013396162461,415.0265660000001,18.482441265040283,110.67323292219966,2164.2479800045653,2035.092305817325,287.8,34.94330000000001,2322.1513007475924,3.03045,331.2138162405656,233.9028842537317,,,,0.0319036911005339,415.32608000000005,2878.0,1.0,7.983455751527299,3.03045,NEAP 20B,R,10.1016/j.epsl.2007.03.025,42.29,28.24,core-top,Yu2007,C. wuellerstorfi
18,350.1464320383755,64.88013396162461,415.0265660000001,18.482441265040283,110.67323292219966,2164.2479800045653,2035.092305817325,287.8,34.94330000000001,2322.1513007475924,3.03045,331.2138162405656,228.1056553995005,,,,0.0319036911005339,415.32608000000005,2878.0,1.0,7.983455751527299,3.03045,NEAP 20B,O,10.1016/j.epsl.2007.03.025,42.29,28.24,core-top,Yu2007,C. wuellerstorfi
19,350.1464320383755,64.88013396162461,415.0265660000001,18.482441265040283,110.67323292219966,2164.2479800045653,2035.092305817325,287.8,34.94330000000001,2322.1513007475924,3.03045,331.2138162405656,228.00345553125388,,,,0.0319036911005339,415.32608000000005,2878.0,1.0,7.983455751527299,3.03045,NEAP 20B,O,10.1016/j.epsl.2007.03.025,42.29,28.24,core-top,Yu2007,C. wuellerstorfi
20,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,208.463931255695,212.87033371857652,204.05752879281349,,0.03253070602669948,415.3058742857143,3121.0,2.0,7.98007114107855,2.99545,T86 5B,R,10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
21,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,194.91123788019434,,,,0.03253070602669948,415.3058742857143,3121.0,1.0,7.98007114107855,2.99545,T86 5B,O,10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
22,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,209.75429831210147,,,,0.03253070602669948,415.3058742857143,3121.0,1.0,7.98007114107855,2.99545,T86 5B,O,10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
23,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,215.96265763781037,,,,0.03253070602669948,415.3058742857143,3121.0,1.0,7.98007114107855,2.99545,T86 5B,R,10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
24,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,206.67651367816305,,,,0.03253070602669948,415.3058742857143,3121.0,1.0,7.98007114107855,2.99545,T86 5B,"O, RB",10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
25,348.9713527118372,66.03502214530565,415.0063748571429,18.13864522167323,111.33718888677178,2160.869738329785,2031.3939042213399,312.1,34.9416,2320.942263308706,2.99545,324.6279375887855,215.91129479781048,,,,0.03253070602669948,415.3058742857143,3121.0,1.0,7.98007114107855,2.99545,T86 5B,O,10.1016/j.epsl.2007.03.025,46.9,25.4,core-top,Yu2007,C. wuellerstorfi
26,349.03141633039627,65.9630813838895,414.9944977142858,17.649472238662195,117.16840942976957,2144.029401397172,2009.2115197287403,202.6,34.9406,2310.4229255262717,3.44968,321.2183252611606,225.24564102123745,,,,0.03285402487257888,415.2939885714286,2026.0,1.0,8.032362316063388,3.44968,T86 9B,O,10.1016/j.epsl.2007.03.025,40.8,27.5,core-top,Yu2007,C. wuellerstorfi
27,349.03141633039627,65.9630813838895,414.9944977142858,17.649472238662195,117.16840942976957,2144.029401397172,2009.2115197287403,202.6,34.9406,2310.4229255262717,3.44968,321.2183252611606,226.92566188667126,,,,0.03285402487257888,415.2939885714286,2026.0,1.0,8.032362316063388,3.44968,T86 9B,O,10.1016/j.epsl.2007.03.025,40.8,27.5,core-top,Yu2007,C. wuellerstorfi
28,352.2904472076128,62.63635079238716,414.92679799999996,19.71623615551001,105.49012891605027,2195.475695148134,2070.2693300765736,327.1,34.9349,2344.653698803954,2.77094,349.91635171397496,205.61774505051812,,,,0.030277004506317297,415.22624,3271.0,1.0,7.947791749627923,2.77094,T86 15B,O,10.1016/j.epsl.2007.03.025,30.483,36.95,core-top,Yu2007,C. wuellerstorfi
